PlantSpecies,FungalGenus,PlantFamily,PLANTLIFEHISTORY,FUNGROUP,LOCATION,DOMESTICATED,Plant_Lat,Plant_Long,Fung_Lat,Fung_Long,Soil_Lat,Soil_Long
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
eucalyptus_globulus,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
eucalyptus_globulus,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
eucalyptus_globulus,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,rhizophagus,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,rhizophagus,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,NA,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,sclerocystis,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
solanum_lycopersicum,funneliformis,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
callistephus_chinensis,gigaspora,asteraceae,annual_biennial,nonNforb,field,DOMESTICATED,NA,NA,-45.859835,170.38689,15.489085,74.984262
adansonia_digitata,rhizophagus,malvaceae,perennial,nonNwood,lab,WILD,14.701941,-17.421846,NA,NA,14.7074,-16.45911
afzelia_africana,rhizophagus,fabaceae,perennial,nonNwood,lab,WILD,12.705037,-16.398102,NA,NA,14.7074,-16.45911
